occurrence_id,classification,present_stowed,present_deployed,same_part_number,stable_part_definition_match,parent_assembly_path_match,part_occurrence_quantity_match,state_membership_match,stowed_transform_authority_max_error,deployed_transform_authority_max_error,state_transform_max_abs_delta,transform_authority_match,fixed_transform_stable,transform_state_behavior,transform_error,stowed_solid_count,deployed_solid_count,stowed_face_count,deployed_face_count,volume_delta_mm3,stowed_local_brep_sha256,deployed_local_brep_sha256,local_bbox_max_abs_delta_mm,surface_type_counts_match,serialized_local_brep_match,exact_common_status,exact_common_volume_mm3,stowed_minus_common_mm3,deployed_minus_common_mm3,exact_common_volume_tolerance_mm3,exact_common_full_volume_equivalent,exact_geometry_equivalent,geometry_equivalence_basis,exact_common_error,fingerprint_error,flexible_state_geometry_exception,status
BOOSTER-CLAMP-SCREW-1-1,FIXED,True,True,True,True,True,True,True,2.433608869978343e-13,2.433608869978343e-13,0.0,True,True,FIXED_UNCHANGED,,1,1,12,12,0.0,dfef7e90327f25c8e2714b4d794102b605e26ccff322ce3fc0fce7c5ffa3e03c,dfef7e90327f25c8e2714b4d794102b605e26ccff322ce3fc0fce7c5ffa3e03c,0.0,True,True,,,,,,False,True,SERIALIZED_LOCAL_BREP_SHA256,,,False,PASS
BOOSTER-CLAMP-SCREW-1-2,FIXED,True,True,True,True,True,True,True,2.433608869978343e-13,2.433608869978343e-13,0.0,True,True,FIXED_UNCHANGED,,1,1,12,12,0.0,dfef7e90327f25c8e2714b4d794102b605e26ccff322ce3fc0fce7c5ffa3e03c,dfef7e90327f25c8e2714b4d794102b605e26ccff322ce3fc0fce7c5ffa3e03c,0.0,True,True,,,,,,False,True,SERIALIZED_LOCAL_BREP_SHA256,,,False,PASS
BOOSTER-CLAMP-SCREW-1-3,FIXED,True,True,True,True,True,True,True,2.433608869978343e-13,2.433608869978343e-13,0.0,True,True,FIXED_UNCHANGED,,1,1,12,12,0.0,dfef7e90327f25c8e2714b4d794102b605e26ccff322ce3fc0fce7c5ffa3e03c,dfef7e90327f25c8e2714b4d794102b605e26ccff322ce3fc0fce7c5ffa3e03c,0.0,True,True,,,,,,False,True,SERIALIZED_LOCAL_BREP_SHA256,,,False,PASS
BOOSTER-CLAMP-SCREW-2-1,FIXED,True,True,True,True,True,True,True,2.092548356813495e-12,2.092548356813495e-12,0.0,True,True,FIXED_UNCHANGED,,1,1,12,12,0.0,dfef7e90327f25c8e2714b4d794102b605e26ccff322ce3fc0fce7c5ffa3e03c,dfef7e90327f25c8e2714b4d794102b605e26ccff322ce3fc0fce7c5ffa3e03c,0.0,True,True,,,,,,False,True,SERIALIZED_LOCAL_BREP_SHA256,,,False,PASS
BOOSTER-CLAMP-SCREW-2-2,FIXED,True,True,True,True,True,True,True,2.092548356813495e-12,2.092548356813495e-12,0.0,True,True,FIXED_UNCHANGED,,1,1,12,12,0.0,dfef7e90327f25c8e2714b4d794102b605e26ccff322ce3fc0fce7c5ffa3e03c,dfef7e90327f25c8e2714b4d794102b605e26ccff322ce3fc0fce7c5ffa3e03c,0.0,True,True,,,,,,False,True,SERIALIZED_LOCAL_BREP_SHA256,,,False,PASS
BOOSTER-CLAMP-SCREW-2-3,FIXED,True,True,True,True,True,True,True,2.092548356813495e-12,2.092548356813495e-12,0.0,True,True,FIXED_UNCHANGED,,1,1,12,12,0.0,dfef7e90327f25c8e2714b4d794102b605e26ccff322ce3fc0fce7c5ffa3e03c,dfef7e90327f25c8e2714b4d794102b605e26ccff322ce3fc0fce7c5ffa3e03c,0.0,True,True,,,,,,False,True,SERIALIZED_LOCAL_BREP_SHA256,,,False,PASS
BOOSTER-CLAMP-SCREW-3-1,FIXED,True,True,True,True,True,True,True,5.329070518200751e-15,5.329070518200751e-15,0.0,True,True,FIXED_UNCHANGED,,1,1,12,12,0.0,dfef7e90327f25c8e2714b4d794102b605e26ccff322ce3fc0fce7c5ffa3e03c,dfef7e90327f25c8e2714b4d794102b605e26ccff322ce3fc0fce7c5ffa3e03c,0.0,True,True,,,,,,False,True,SERIALIZED_LOCAL_BREP_SHA256,,,False,PASS
BOOSTER-CLAMP-SCREW-3-2,FIXED,True,True,True,True,True,True,True,5.329070518200751e-15,5.329070518200751e-15,0.0,True,True,FIXED_UNCHANGED,,1,1,12,12,0.0,dfef7e90327f25c8e2714b4d794102b605e26ccff322ce3fc0fce7c5ffa3e03c,dfef7e90327f25c8e2714b4d794102b605e26ccff322ce3fc0fce7c5ffa3e03c,0.0,True,True,,,,,,False,True,SERIALIZED_LOCAL_BREP_SHA256,,,False,PASS
BOOSTER-CLAMP-SCREW-3-3,FIXED,True,True,True,True,True,True,True,5.329070518200751e-15,5.329070518200751e-15,0.0,True,True,FIXED_UNCHANGED,,1,1,12,12,0.0,dfef7e90327f25c8e2714b4d794102b605e26ccff322ce3fc0fce7c5ffa3e03c,dfef7e90327f25c8e2714b4d794102b605e26ccff322ce3fc0fce7c5ffa3e03c,0.0,True,True,,,,,,False,True,SERIALIZED_LOCAL_BREP_SHA256,,,False,PASS
BOOSTER-COLLECTION-LINE-1,FIXED,True,True,True,True,True,True,True,1.4210854715202004e-13,1.4210854715202004e-13,0.0,True,True,FIXED_UNCHANGED,,1,1,12,12,0.0,5032cfad126cb219c14cfd166e4e58740dfbdcf06777ea5e66523c986ffaf78e,5032cfad126cb219c14cfd166e4e58740dfbdcf06777ea5e66523c986ffaf78e,0.0,True,True,,,,,,False,True,SERIALIZED_LOCAL_BREP_SHA256,,,False,PASS
BOOSTER-COLLECTION-LINE-2,FIXED,True,True,True,True,True,True,True,2.142286348316702e-12,2.142286348316702e-12,0.0,True,True,FIXED_UNCHANGED,,1,1,12,12,0.0,5032cfad126cb219c14cfd166e4e58740dfbdcf06777ea5e66523c986ffaf78e,5032cfad126cb219c14cfd166e4e58740dfbdcf06777ea5e66523c986ffaf78e,0.0,True,True,,,,,,False,True,SERIALIZED_LOCAL_BREP_SHA256,,,False,PASS
BOOSTER-COLLECTION-LINE-3,FIXED,True,True,True,True,True,True,True,4.417621069237666e-28,4.417621069237666e-28,0.0,True,True,FIXED_UNCHANGED,,1,1,12,12,0.0,5032cfad126cb219c14cfd166e4e58740dfbdcf06777ea5e66523c986ffaf78e,5032cfad126cb219c14cfd166e4e58740dfbdcf06777ea5e66523c986ffaf78e,0.0,True,True,,,,,,False,True,SERIALIZED_LOCAL_BREP_SHA256,,,False,PASS
BOOSTER-FWD-CLOSURE-1,FIXED,True,True,True,True,True,True,True,1.4210854715202004e-13,1.4210854715202004e-13,0.0,True,True,FIXED_UNCHANGED,,1,1,6,6,0.0,ccff4493ea4d06d6edc84ed270433666a64ec31f1b5a1548cf31239996c510c1,ccff4493ea4d06d6edc84ed270433666a64ec31f1b5a1548cf31239996c510c1,0.0,True,True,,,,,,False,True,SERIALIZED_LOCAL_BREP_SHA256,,,False,PASS
BOOSTER-FWD-CLOSURE-2,FIXED,True,True,True,True,True,True,True,2.142286348316702e-12,2.142286348316702e-12,0.0,True,True,FIXED_UNCHANGED,,1,1,6,6,0.0,ccff4493ea4d06d6edc84ed270433666a64ec31f1b5a1548cf31239996c510c1,ccff4493ea4d06d6edc84ed270433666a64ec31f1b5a1548cf31239996c510c1,0.0,True,True,,,,,,False,True,SERIALIZED_LOCAL_BREP_SHA256,,,False,PASS
BOOSTER-FWD-CLOSURE-3,FIXED,True,True,True,True,True,True,True,4.417621069237666e-28,4.417621069237666e-28,0.0,True,True,FIXED_UNCHANGED,,1,1,6,6,0.0,ccff4493ea4d06d6edc84ed270433666a64ec31f1b5a1548cf31239996c510c1,ccff4493ea4d06d6edc84ed270433666a64ec31f1b5a1548cf31239996c510c1,0.0,True,True,,,,,,False,True,SERIALIZED_LOCAL_BREP_SHA256,,,False,PASS
BOOSTER-ISOLATION-VALVE-1,FIXED,True,True,True,True,True,True,True,1.4210854715202004e-13,1.4210854715202004e-13,0.0,True,True,FIXED_UNCHANGED,,1,1,30,30,0.0,ce80b7115ada0a79446b33e43c83dbfb89ee5abb0982ca249bb7c16e469c2468,ce80b7115ada0a79446b33e43c83dbfb89ee5abb0982ca249bb7c16e469c2468,0.0,True,True,,,,,,False,True,SERIALIZED_LOCAL_BREP_SHA256,,,False,PASS
BOOSTER-ISOLATION-VALVE-2,FIXED,True,True,True,True,True,True,True,2.142286348316702e-12,2.142286348316702e-12,0.0,True,True,FIXED_UNCHANGED,,1,1,30,30,0.0,ce80b7115ada0a79446b33e43c83dbfb89ee5abb0982ca249bb7c16e469c2468,ce80b7115ada0a79446b33e43c83dbfb89ee5abb0982ca249bb7c16e469c2468,0.0,True,True,,,,,,False,True,SERIALIZED_LOCAL_BREP_SHA256,,,False,PASS
