install_path,name,version,package_json_sha256
pnpm/dist/node_modules/proc-log,proc-log,6.1.0,5da081088a404333c924e99523d09d00d90f0e2c2bff011bc14f8899dff8897d
process-nextick-args,process-nextick-args,2.0.1,6d6d93d057f39bc3173d53e694b61833fd0ce89c1d669156169136d31a968131
queue,queue,6.0.2,b19f02be7f236c4ca44aa624def818e98c5287d2596fa0aafed12087f161bcd1
readable-stream,readable-stream,2.3.8,67bde829e31cba3f50c77d14a30fa0f2295223b7ffa07f3b84606a5a79bb97f8
regenerator-runtime,regenerator-runtime,0.13.11,438ba14ad7859f5e16914e174e425afa8f5d9c21cf5ab208699a28454c4618ee
safe-buffer,safe-buffer,5.1.2,3d8b6d944be9e931a178914afbb3d6b79bfa199c032872b687bed41ed996c747
sax,sax,1.6.1,d7e5ff764b48b9532d1b9a8b481b8d54336e6309e362571e993645b790bea657
pnpm/artifacts/exe/dist/node_modules/semver,semver,7.8.5,7c94cb7f2a53c27b20d76386ec144c062894dbcc909cfabd0f728c37874b1776
pnpm/dist/node_modules/semver,semver,7.8.5,7c94cb7f2a53c27b20d76386ec144c062894dbcc909cfabd0f728c37874b1776
semver,semver,7.8.5,7c94cb7f2a53c27b20d76386ec144c062894dbcc909cfabd0f728c37874b1776
setimmediate,setimmediate,1.0.5,56c7968c8062ad56e94b8ddb477e514098e0fa34b060aa86b67232fdb12e184d
sharp,sharp,0.35.3,0f3a7e7eb4f22978dfde46e6c7c6ecf3b86b43e33c3d366de88b334b4610c3ff
@oai/artifact-tool/node_modules/skia-canvas,skia-canvas,3.0.8,2e0b051c3a036d11781798f8e83a7557b6f4baa31719b81105f3e8e9c7fdac6a
@oai/artifact-tool/node_modules/string-split-by,string-split-by,1.0.0,6b4e7626d2526a56240497de670dc3f236eecc0e991d3621ccaac5606f66a95b
string_decoder,string_decoder,1.1.1,e278ca18803862a6d1b6bedc6a3394159ac86e5c4a162614fef006c79dcda3a2
pnpm/artifacts/exe/dist/node_modules/tar,tar,7.5.22,31b18f4fb83ba7183f54fa9e2cdca610897108c37ba80570c2c6fa7ccf112d97
pnpm/dist/node_modules/tar,tar,7.5.22,31b18f4fb83ba7183f54fa9e2cdca610897108c37ba80570c2c6fa7ccf112d97
tesseract.js,tesseract.js,7.0.0,fa342f37afd665595eca66ee867197c47c9ac35a7967123d1132c39a40b3dfbd
tesseract.js-core,tesseract.js-core,7.0.0,554b867684677c81aa3ffab61f31e83618445fa09adee99e8fff3515cee6ca54
pnpm/artifacts/exe/dist/node_modules/tinyglobby,tinyglobby,0.2.17,bd2b2af3c9ba0580f1acfb22c55d0b6d29abf683af5cac8a2efe82fa7c943f23
pnpm/dist/node_modules/tinyglobby,tinyglobby,0.2.17,bd2b2af3c9ba0580f1acfb22c55d0b6d29abf683af5cac8a2efe82fa7c943f23
tr46,tr46,0.0.3,615087f58ee138fd35c2b414c355b72e36e5919725b8aecc1c34f6a5585b9779
tslib,tslib,1.14.1,f685f35daa1c75b3e6e3e2e9158de36130e34aee095498f65af9e508ea2d56b0
pnpm/artifacts/exe/dist/node_modules/undici,undici,6.28.0,f529aa8b145f6e270a72700ceb6c8dd3b87f742313078ea9f774a9d2ce8c865d
pnpm/dist/node_modules/undici,undici,6.28.0,f529aa8b145f6e270a72700ceb6c8dd3b87f742313078ea9f774a9d2ce8c865d
pptxgenjs/node_modules/undici-types,undici-types,6.21.0,11f873b423b96a5ad444a099685ca6b9de1379dcd83fd8d368e757ddb53658e4
undici-types,undici-types,7.24.6,541adf5ec10733ecbf9278ec706914c76b1e5b25cccebdadb7ade8f3066ae052
util-deprecate,util-deprecate,1.0.2,7bba467f049074957e693fc06672848b040c38fa071b6eed8690f5fbe090a8b2
pnpm/artifacts/exe/dist/node_modules/v8-compile-cache,v8-compile-cache,2.4.0,0fa03730c3968110f6f8c088ebfba37a43190690a964fb8bcc6e485adbe5f1cc
pnpm/dist/node_modules/v8-compile-cache,v8-compile-cache,2.4.0,0fa03730c3968110f6f8c088ebfba37a43190690a964fb8bcc6e485adbe5f1cc
wasm-feature-detect,wasm-feature-detect,1.8.0,f511a8499a742e364d5bc9cdb23fb09108b12c7683fe06fb9e2bc324832b3b5b
webidl-conversions,webidl-conversions,3.0.1,e26568c06b82596d754c7490fd568b4b3f970b3b97c55020d42f65990d0c86af
whatwg-url,whatwg-url,5.0.0,05a015c4176246f051bbaa3a543ed82480a4a4d85360283e049f159ba014b008
pnpm/artifacts/exe/dist/node_modules/which,which,6.0.1,a587811d0c730bfc8be6a78adc62c8ca4d55f80a253c88d5d827fd5b3e97703d
pnpm/dist/node_modules/which,which,6.0.1,a587811d0c730bfc8be6a78adc62c8ca4d55f80a253c88d5d827fd5b3e97703d
xml,xml,1.0.1,5cf857a6bdda759c053c171444f9e2ad77c8fd4f8b0007f447f210228a42241c
xml-js,xml-js,1.6.11,71b38b1b2915848c890fe8c5effd006b61aff674e163fe87cf47aa0dbb2f61ba
pnpm/artifacts/exe/dist/node_modules/yallist,yallist,5.0.0,1b9d47057ce39814531ff93f668823b4fa03e7d23945449c274a1ff6d4cc297f
pnpm/dist/node_modules/yallist,yallist,5.0.0,1b9d47057ce39814531ff93f668823b4fa03e7d23945449c274a1ff6d4cc297f
zlibjs,zlibjs,0.3.1,5a087e0b211482ab3ab1de0ede25efe4296f77830ec5b7ec6fea357d68af9ede
