audit_elapsed_seconds,broad_phase_solid_candidates,classification,exact_common_volume_mm3,name_a,name_b,occurrence_a,occurrence_b,state,status
0.012655,6,NO_POSITIVE_COMMON_VOLUME,0.000000000,PIVOT_BUSHING_SET,ARM_PIVOT_PIN_SET,WP02-008,WP02-009,DEPLOYED,PASS
0.003817,2,NO_POSITIVE_COMMON_VOLUME,0.000000000,PIVOT_BUSHING_SET,VSM6_RETENTION_RING_SET,WP02-008,WP02-012,DEPLOYED,PASS
0.002198,4,NO_POSITIVE_COMMON_VOLUME,0.000000000,PIVOT_BUSHING_SET,POSITIVE_LOCK_HOUSING_SET,WP02-008,WP02-030,DEPLOYED,PASS
0.007962,3,NO_POSITIVE_COMMON_VOLUME,0.000000000,ARM_PIVOT_PIN_SET,VSM6_RETENTION_RING_SET,WP02-009,WP02-012,DEPLOYED,PASS
0.006239,6,NO_POSITIVE_COMMON_VOLUME,0.000000000,ARM_PIVOT_PIN_SET,POSITIVE_LOCK_HOUSING_SET,WP02-009,WP02-030,DEPLOYED,PASS
0.001702,2,NO_POSITIVE_COMMON_VOLUME,0.000000000,ARM_PIVOT_PIN_SET,POSITIVE_LOCK_PLUNGER_AND_WITNESS_SET,WP02-009,WP02-031,DEPLOYED,PASS
0.008704,3,NO_POSITIVE_COMMON_VOLUME,0.000000000,ARM_LINK_PIN_SET,VSM6_RETENTION_RING_SET,WP02-010,WP02-012,DEPLOYED,PASS
0.008703,3,NO_POSITIVE_COMMON_VOLUME,0.000000000,CROSSHEAD_LINK_PIN_SET,VSM6_RETENTION_RING_SET,WP02-011,WP02-012,DEPLOYED,PASS
0.004672,3,NO_POSITIVE_COMMON_VOLUME,0.000000000,POWERTRAIN_CARTRIDGE_SPINE,CROSSHEAD_GUIDE_ROD_SET,WP02-013,WP02-014,DEPLOYED,PASS
1.921348,3,NO_POSITIVE_COMMON_VOLUME,0.000000000,POWERTRAIN_CARTRIDGE_SPINE,BACKUP_SPRING_LHL625D12,WP02-013,WP02-025,DEPLOYED,PASS
