ARM-STOP-PAD-1	MOVING	ARM-1=0.10000000000000142;FWD-RING-02=0.9273242398441128;PIVOT-WASHER-1-1=2.1518359502329676;PIVOT-WASHER-1-2=2.1518359502329676;PIVOT-BUSH-1-1=2.6183085036071128;PIVOT-BUSH-1-2=2.6183085036071128
ARM-STOP-PAD-2	MOVING	ARM-2=0.09999999999999906;FWD-RING-02=0.9273242398441166;PIVOT-WASHER-2-2=2.151835950232967;PIVOT-WASHER-2-1=2.151835950232968;PIVOT-BUSH-2-1=2.6183085036071123;PIVOT-BUSH-2-2=2.6183085036071128
ARM-STOP-PAD-3	MOVING	ARM-3=0.09999999999999906;FWD-RING-02=0.9273242398441116;PIVOT-WASHER-3-2=2.1518359502329654;PIVOT-WASHER-3-1=2.1518359502329676;PIVOT-BUSH-3-2=2.6183085036071128;PIVOT-BUSH-3-1=2.618308503607113
BACKUP-SPRING-FIXED-SEAT	FIXED	BACKUP-SPRING-001=2.8944677783067133E-10;BACKUP-SPRING-GUIDE=0.8999999999999987;ARM-LONGERON-3=2.4999999999999973;FIXED-SECTOR-3=3.6999999999999993;GS19-FIXED-YOKE=8.304966269154198;ARM-1=9.183509098494806
BACKUP-SPRING-GUIDE	FIXED	CROSSHEAD-001=0.14999999999999522;BACKUP-SPRING-FIXED-SEAT=0.8999999999999987;BACKUP-SPRING-MOVING-SEAT=0.899999999999999;BACKUP-SPRING-001=2.4;PIVOT-CARRIER-1=3.1734921153167406;PIVOT-CARRIER-3=3.1734921153167495
BACKUP-SPRING-MOVING-SEAT	MOVING	CROSSHEAD-001=0.0;BACKUP-SPRING-001=6.252776074688882E-12;CROSSHEAD-GUIDE-001=0.30000000000000027;BACKUP-SPRING-GUIDE=0.899999999999999;ARM-LONGERON-3=2.4999999999999973;LINK-PIN-3-CROSSHEAD=2.8094667669659956
BALLAST-001	FIXED	FWD-RING-01=0.0;NOSE-001=0.0;FWD-LONGERON-1=8.0;FWD-LONGERON-2=8.0;FWD-LONGERON-3=8.0;FWD-SHELL-001=8.018883962248113
BODY-HARDPOINT-001	FIXED	RECOVERY-PIN-BODY=0.0;RECOVERY-PIN-CLIP-BODY=0.0;AFT-SHELL-001=8.881784197001252E-16;AFT-LONGERON-1=0.10000000000013642;AFT-LONGERON-2=0.10000000000013642;AFT-LONGERON-3=0.10000000000013642
BOOSTER-1	FIXED	FULLFLOW-VALVE-001=0.0;FWD-RING-02=0.0;BOOSTER-BAND-1-1=0.14999999999999905;BOOSTER-BAND-1-2=0.14999999999999905;BOOSTER-BAND-1-3=0.14999999999999905;ROUTE-PILOT-LINE-001=0.23882914843306957
BOOSTER-2	FIXED	FULLFLOW-VALVE-001=0.0;FWD-RING-02=0.0;BOOSTER-BAND-2-1=0.1499999999999976;BOOSTER-BAND-2-2=0.15000000000000058;BOOSTER-BAND-2-3=0.15000000000000058;WATER-TRIGGER-HSG-001=0.5
BOOSTER-3	FIXED	FULLFLOW-VALVE-001=0.0;FWD-RING-02=0.0;BOOSTER-BAND-3-1=0.14999999999999833;BOOSTER-BAND-3-2=0.1499999999999984;BOOSTER-BAND-3-3=0.1499999999999984;WATER-TRIGGER-HSG-001=0.5
BOOSTER-BAND-1-1	FIXED	FWD-SHELL-001=0.0;BOOSTER-1=0.14999999999999905;FWD-LONGERON-1=3.0558445500780262;COLLECTION-MANIFOLD-001=4.5;BOOSTER-BAND-2-1=9.848711305964283;BOOSTER-BAND-3-1=9.848711305964283
BOOSTER-BAND-1-2	FIXED	FWD-SHELL-001=0.0;BOOSTER-1=0.14999999999999905;FWD-LONGERON-1=3.0558445500780262;BOOSTER-BAND-2-2=9.848711305964283;BOOSTER-BAND-3-2=9.848711305964283;BOOSTER-3=10.548711305964282
BOOSTER-BAND-1-3	FIXED	FWD-SHELL-001=0.0;BOOSTER-1=0.14999999999999905;FULLFLOW-VALVE-001=1.2999999999999998;FWD-LONGERON-1=3.0558445500780262;BOOSTER-BAND-2-3=9.848711305964283;BOOSTER-BAND-3-3=9.848711305964283
BOOSTER-BAND-2-1	FIXED	FWD-SHELL-001=3.972054645195637E-15;BOOSTER-2=0.1499999999999976;FWD-LONGERON-2=3.0558445500780245;COLLECTION-MANIFOLD-001=4.5;BOOSTER-BAND-3-1=9.848711305964278;BOOSTER-BAND-1-1=9.848711305964283
BOOSTER-BAND-2-2	FIXED	FWD-SHELL-001=3.972054645195637E-15;BOOSTER-2=0.15000000000000058;FWD-LONGERON-2=3.055844550078024;BOOSTER-BAND-3-2=9.848711305964278;BOOSTER-BAND-1-2=9.848711305964283;BOOSTER-3=10.548711305964279
BOOSTER-BAND-2-3	FIXED	FWD-SHELL-001=1.7763568394002505E-15;BOOSTER-2=0.15000000000000058;FULLFLOW-VALVE-001=1.2999999999999987;FWD-LONGERON-2=3.0558445500780245;BOOSTER-BAND-3-3=9.848711305964278;BOOSTER-BAND-1-3=9.848711305964283
